dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,src_ip,dst_ip,src_port,dst_port,dpid,timestamp,label,attack_cat
3.68,other,-,CON,2,0,196,0,0.5435,64,0,426.087,0.0,0,0,1.84,0.0,0.0,0.0,255,0,0,0,0.0,0.0,0.0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00:00:00:00:02,00:00:00:00:00:01 actions,0,0,0,1771577709.9275858,0,Normal
3.664,other,-,CON,1,0,98,0,0.2729,64,0,213.9738,0.0,0,0,3.664,0.0,0.0,0.0,255,0,0,0,0.0,0.0,0.0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00:00:00:00:01,00:00:00:00:00:02 actions,0,0,0,1771577709.9276025,0,Normal
3.608,other,-,CON,2,0,196,0,0.5543,64,0,434.5898,0.0,0,0,1.804,0.0,0.0,0.0,255,0,0,0,0.0,0.0,0.0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00:00:00:00:03,00:00:00:00:00:01 actions,0,0,0,1771577709.9276114,0,Normal
3.595,other,-,CON,1,0,98,0,0.2782,64,0,218.0807,0.0,0,0,3.595,0.0,0.0,0.0,255,0,0,0,0.0,0.0,0.0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00:00:00:00:01,00:00:00:00:00:03 actions,0,0,0,1771577709.9276187,0,Normal
3.525,other,-,CON,2,0,196,0,0.5674,64,0,444.8227,0.0,0,0,1.7625,0.0,0.0,0.0,255,0,0,0,0.0,0.0,0.0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00:00:00:00:04,00:00:00:00:00:01 actions,0,0,0,1771577709.927628,0,Normal
3.514,other,-,CON,1,0,98,0,0.2846,64,0,223.1076,0.0,0,0,3.514,0.0,0.0,0.0,255,0,0,0,0.0,0.0,0.0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00:00:00:00:01,00:00:00:00:00:04 actions,0,0,0,1771577709.9276347,0,Normal
3.432,other,-,CON,2,0,196,0,0.5828,64,0,456.8765,0.0,0,0,1.716,0.0,0.0,0.0,255,0,0,0,0.0,0.0,0.0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00:00:00:00:05,00:00:00:00:00:01 actions,0,0,0,1771577709.9276428,0,Normal
3.42,other,-,CON,1,0,98,0,0.2924,64,0,229.2398,0.0,0,0,3.42,0.0,0.0,0.0,255,0,0,0,0.0,0.0,0.0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00:00:00:00:01,00:00:00:00:00:05 actions,0,0,0,1771577709.9276497,0,Normal
3.325,other,-,CON,2,0,196,0,0.6015,64,0,471.5789,0.0,0,0,1.6625,0.0,0.0,0.0,255,0,0,0,0.0,0.0,0.0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00:00:00:00:06,00:00:00:00:00:01 actions,0,0,0,1771577709.9276567,0,Normal
3.313,other,-,CON,1,0,98,0,0.3018,64,0,236.6435,0.0,0,0,3.313,0.0,0.0,0.0,255,0,0,0,0.0,0.0,0.0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00:00:00:00:01,00:00:00:00:00:06 actions,0,0,0,1771577709.9276652,0,Normal
3.207,other,-,CON,2,0,196,0,0.6236,64,0,488.9305,0.0,0,0,1.6035,0.0,0.0,0.0,255,0,0,0,0.0,0.0,0.0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00:00:00:00:07,00:00:00:00:00:01 actions,0,0,0,1771577709.927672,0,Normal
3.195,other,-,CON,1,0,98,0,0.313,64,0,245.3834,0.0,0,0,3.195,0.0,0.0,0.0,255,0,0,0,0.0,0.0,0.0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00:00:00:00:01,00:00:00:00:00:07 actions,0,0,0,1771577709.9276788,0,Normal
3.069,other,-,CON,1,0,98,0,0.3258,64,0,255.4578,0.0,0,0,3.069,0.0,0.0,0.0,255,0,0,0,0.0,0.0,0.0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00:00:00:00:08,00:00:00:00:00:01 actions,0,0,0,1771577709.9276874,0,Normal
3.057,other,-,CON,0,0,0,0,0.0,64,0,0.0,0.0,0,0,3.057,0.0,0.0,0.0,255,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00:00:00:00:01,00:00:00:00:00:08 actions,0,0,0,1771577709.927695,0,Normal
2.944,other,-,CON,2,0,196,0,0.6793,64,0,532.6087,0.0,0,0,1.472,0.0,0.0,0.0,255,0,0,0,0.0,0.0,0.0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00:00:00:00:03,00:00:00:00:00:02 actions,0,0,0,1771577709.9277036,0,Normal
2.931,other,-,CON,1,0,98,0,0.3412,64,0,267.4855,0.0,0,0,2.931,0.0,0.0,0.0,255,0,0,0,0.0,0.0,0.0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00:00:00:00:02,00:00:00:00:00:03 actions,0,0,0,1771577709.9277103,0,Normal
2.865,other,-,CON,2,0,196,0,0.6981,64,0,547.2949,0.0,0,0,1.4325,0.0,0.0,0.0,255,0,0,0,0.0,0.0,0.0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00:00:00:00:04,00:00:00:00:00:02 actions,0,0,0,1771577709.9277165,0,Normal
2.854,other,-,CON,1,0,98,0,0.3504,64,0,274.7022,0.0,0,0,2.854,0.0,0.0,0.0,255,0,0,0,0.0,0.0,0.0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00:00:00:00:02,00:00:00:00:00:04 actions,0,0,0,1771577709.927725,0,Normal
2.773,other,-,CON,2,0,196,0,0.7212,64,0,565.4526,0.0,0,0,1.3865,0.0,0.0,0.0,255,0,0,0,0.0,0.0,0.0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00:00:00:00:05,00:00:00:00:00:02 actions,0,0,0,1771577709.9277318,0,Normal
2.761,other,-,CON,1,0,98,0,0.3622,64,0,283.9551,0.0,0,0,2.761,0.0,0.0,0.0,255,0,0,0,0.0,0.0,0.0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00:00:00:00:02,00:00:00:00:00:05 actions,0,0,0,1771577709.9277382,0,Normal
2.658,other,-,CON,2,0,196,0,0.7524,64,0,589.9172,0.0,0,0,1.329,0.0,0.0,0.0,255,0,0,0,0.0,0.0,0.0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00:00:00:00:06,00:00:00:00:00:02 actions,0,0,0,1771577709.9277468,0,Normal
2.646,other,-,CON,1,0,98,0,0.3779,64,0,296.2963,0.0,0,0,2.646,0.0,0.0,0.0,255,0,0,0,0.0,0.0,0.0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00:00:00:00:02,00:00:00:00:00:06 actions,0,0,0,1771577709.9277534,0,Normal
2.538,other,-,CON,2,0,196,0,0.788,64,0,617.8093,0.0,0,0,1.269,0.0,0.0,0.0,255,0,0,0,0.0,0.0,0.0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00:00:00:00:07,00:00:00:00:00:02 actions,0,0,0,1771577709.927769,0,Normal
2.525,other,-,CON,1,0,98,0,0.396,64,0,310.495,0.0,0,0,2.525,0.0,0.0,0.0,255,0,0,0,0.0,0.0,0.0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00:00:00:00:02,00:00:00:00:00:07 actions,0,0,0,1771577709.9277751,0,Normal
