tx_bytes,rx_bytes,tx_packets,rx_packets,tx_errors,rx_errors,latency,bandwidth,utilization,link_cost
93082,29468,116,668,0,0,2.117149703978003,1000,0.35668522270789077,4.065196752060927
144049,94572,263,198,0,0,1.6548081248883875,10,0.33810540701119113,3.870324068578368
14513,241925,356,304,0,0,3.482821412458403,10,0.04161997196838126,1.6812419169928905
220127,94521,57,210,0,0,1.239973407209604,10,0.22552802413144693,2.9282215337725357
22014,52447,1069,6,0,0,0.7986762990429559,100,0.10004424296841954,1.8802215736516519
114470,45897,10,68,0,0,1.9398761713144967,1000,0.24274800754312253,3.13597167747643
40096,18088,120,105,0,0,1.9255662594500944,100,0.08404370992555818,1.864906305349475
285077,332613,297,685,1,0,3.3893149981942825,10,0.2592562910681941,5.412981828364981
9384,27775,743,195,0,0,3.3537453432782485,10,0.17585500396098458,2.7422145660157016
84973,56853,141,416,0,0,1.0485399421173973,10,0.5402775110208861,5.427074082378828
117013,76930,158,26,0,0,3.979855439676368,10,0.1596472089367562,2.6751632154616867
19410,165690,50,614,0,0,0.7974105780311199,10,0.40746391232162826,4.339452356376138
6593,1157,1419,439,0,0,4.670403339751731,1000,0.349969238108416,4.266794238842501
194919,15755,3718,503,0,0,2.870239435537439,100,0.11619083077144257,2.2165505897252844
334854,30678,210,51,0,0,1.7139259997565321,10,0.10690728657518336,2.0266508925771203
61274,34977,1521,598,0,0,2.7086121249131097,1000,0.06039972947096031,1.7540590482589935
135184,51707,1539,700,0,0,1.3010382926176933,10,0.026035159858370596,1.3383851081287341
217868,95278,151,383,0,0,0.5081912867946241,10,0.2645794645767838,3.1674548452937326
76276,87582,388,686,0,1,1.1970451029123437,10,0.36289245048088276,6.022844114138297
65721,21417,1375,330,0,0,2.3846134367132246,1000,0.0951839663757673,1.999933074677461
33776,70342,925,95,0,0,2.2741111128099494,10,0.04520487943171919,1.5890501467347484
13945,43692,78,410,0,0,1.160096348887083,100,0.35212170093782563,3.9329832423913134
89428,28069,1046,142,0,0,3.4771794855641893,10,0.30197560741942114,3.763522807911788
